label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11
3	351 m^2	1.0401	PIG	Reilly	0.3077	0.5175 mph	0.9236	0.2486	465	bIOENGINEERING	495	186
2	-16 m^2	1.2224	reptile	Andrew	1.2552	-0.0263 mph	0.1537	-0.1274	1030	Bioinformatics	1093	914
2	320 m^2	0.9487	ferret	Andrew	0.3266	-0.097 mph	0.7045	0.0405	1129	Biotechnology	899	465
2	186 m^2	0.9534	bird	Andrew	0.6366	0.3549 mph	0.4674	0.3692	938	Biotechnology	1043	703
2	400 m^2	0.7938	reptile	Andrew	0.546	-0.0755 mph	0.3523	0.2016	1078	Biotechnology	688	1258
1	823 m^2	0.1157	fish	Chris	0.2658	0.9489 mph	0.5802	0.752	-124	Computational Media	533	?
3	655 m^2	0.8399	pig	Reilly	0.3789	0.5621 mph	0.5916	N/A	-22	Games and Playable Media	551	234
2	-60 m^2	0.6749	dog	Andrew	0.3954	-0.0377 mph	-0.0116	0.3634	685	Biotechnology	723	715
3	847 m^2	0.7126	pig	Eriq	0.3795	0.8605 mph	0.7076	0.4085	33	Robotics Engineering	217	68
1	493 m^2	0.1011	?	Michael, Sam, Fabrice	0.0031	0.7968 mph	0.885	0.4731	294	Applied Mathematics	362	859
3	760 m^2	0.3462	pig	Eriq	0.4972	1.0177 mph	0.8	0.5755	528	natural language processing	428	-2
1	1073 m^2	0.1881	guinea pig	Tony, Inan	0.1362	0.7711 mph	0.9237	1.2684	342	aPPLIED mATHEMATICS	85	721
1	756 m^2	0.2159	guinea pig	Fabrice, Lise, Chris, Sam	0.1595	0.9657 mph	0.8641	0.8789	472	Technology and Information Management	-254	613
0	114 m^2	-0.0795	rat	Tony	0.7245	0.3769 mph	0.0555	0.5685	923	Computer Game Design	913	819
0	433 m^2	0.4449	rat	Tony, Inan	n/a	0.3194 mph	-0.1946	0.9107	999	Computer Game Design	1068	462
0	538 m^2	0.3091	rabbit	vANI	0.6684	0.3408 mph	0.0119	1.233	566	Computer Game Design	768	230
1	522 m^2	0.2508	fish	Fabrice	0.4484	0.8051 mph	0.9639	0.7471	274	Technology and Information Management	58	1418
2	175 m^2	0.8167	dog	Andrew	0.904	-0.0526 mph	0.1714	0.4613	712	Electrical Engineering	364	935
1	731 m^2	0.2311	chicken	Lise	-0.3282	0.5301 mph	0.5746	1.1031	305	Data Science	-225	1001
1	526 m^2	0.4422	fish	Chris	-0.0172	0.8624 mph	0.8482	0.6139	704	cOMPUTER sCIENCE	472	969
0	475 m^2	0.6136	HAMSTER	Inan, Vani	0.9013	0.4828 mph	0.1774	0.9972	1124	Computer Game Design	995	412
0	491 m^2	0.5861	rabbit	Inan, Vani	0.6519	0.0642 mph	0.0408	0.6494	863	Computer Game Design	852	231
0	522 m^2	1.0017	rabbit	Inan, Vani	1.1377	0.5083 mph	0.201	0.3774	880	Computer Game Design	1144	476
2	191 m^2	0.7956	ferret	Andrew	0.344	-0.149 mph	0.3572	0.0387	1097	Biotechnology	743	1054
2	-75 m^2	0.6312	ferret	Andrew	0.8517	0.0102 mph	0.5865	0.3071	694	Biotechnology	364	429
3	820 m^2	0.8314	pig	REILLY	0.356	0.8199 mph	0.6232	0.2238	160	Human Computer Interaction	135	-349
1	704 m^2	-0.1894	dog	Andrew	0.4119	0.7178 mph	0.7886	0.9002	392	Bioinformatics	85	1030
1	783 m^2	0.1731	guinea pig	Lise, Chris	0.2155	0.7833 mph	0.9558	1.05	643	Technology and Information Management	395	257
0	214 m^2	0.6031	rabbit	Tony, Vani	0.6231	0.7266 mph	-0.3009	0.6873	606	Computer Game Design	691	3
0	485 m^2	0.6815	hamster	Tony	1.063	0.2738 mph	0.2481	0.6649	581	Computer Game Design	1358	501
3	855 m^2	0.3981	pig	Reilly	0.1126	0.5802 mph	0.6666	-0.0563	109	Bioengineering	22	-36
2	162 m^2	1.0496	bird	Andrew	0.6714	0.0828 mph	1.0015	0.3055	1079	Bioinformatics	712	694
2	225 m^2	0.5448	reptile	Andrew	0.9071	-0.0329 mph	0.0904	0.2295	655	Electrical Engineering	727	583
0	381 m^2	0.2442	cat	Tony, Vani	0.9588	0.6344 mph	-0.2156	0.5197	523	Computer Game Design	1202	295
3	840 m^2	0.6382	pig	Eriq	0.6698	0.4829 mph	0.7734	0.4365	78	robotics engineering	173	342
1	628 m^2	-0.2184	guinea pig	Lise	-0.1309	0.4726 mph	0.7115	0.9718	334	Technology and Information Management	76	1121
1	890 m^2	0.1729	fish	Chris, Michael	0.0122	0.6079 mph	0.3327	1.1771	-31	Statistics	388	1318
2	-130 m^2	0.8078	bird	Andrew	1.3725	0.2448 mph	-0.0524	0.1751	745	Electrical Engineering	387	576
3	818 m^2	1.0456	pig	Reilly	0.2467	0.4585 mph	0.9627	0.2095	256	Human Computer Interaction	326	40
1	992 m^2	0.1913	GUINEA PIG	Chris, Sam, Lise, Michael	0.2008	1.1706 mph	0.7729	0.4836	206	Technology and Information Management	4	751
2	-123 m^2	0.8645	bird	Andrew	0.2987	0.0007 mph	0.3219	0.0014	722	Natural Language Processing	456	683
1	679 m^2	0.0601	CHICKEN	Fabrice	0.2613	0.5921 mph	0.9134	0.6521	116	Statistics	-126	953
1	725 m^2	0.001	chicken	Chris, Michael, Fabrice, Sam	0.2372	0.8056 mph	0.8463	0.4234	360	Computer Science	-243	773
